brandName,brandNameKanaCandidate,displayNameCandidate,confidence,sourceCount,needsReview,note
BALLY,,未確認（BALLY）,unknown,2,true,読み方要確認
BAPEX,,未確認（BAPEX）,unknown,2,true,読み方要確認
BORBONESE,,未確認（BORBONESE）,unknown,2,true,読み方要確認
CHARLES JOURDAN,,未確認（CHARLES JOURDAN）,unknown,2,true,読み方要確認
CURTIS&CO,,未確認（CURTIS&CO）,unknown,2,true,読み方要確認
DAKS,,未確認（DAKS）,unknown,2,true,読み方要確認
Folli Follie,,未確認（Folli Follie）,unknown,2,true,読み方要確認
Forever,,未確認（Forever）,unknown,2,true,読み方要確認
Gianni Accardi,,未確認（Gianni Accardi）,unknown,2,true,読み方要確認
Gianni Versace,,未確認（Gianni Versace）,unknown,2,true,読み方要確認
GRANDEUR,,未確認（GRANDEUR）,unknown,2,true,読み方要確認
GUESS,,未確認（GUESS）,unknown,2,true,読み方要確認
Kentex,,未確認（Kentex）,unknown,2,true,読み方要確認
MAURICE LACROIX,,未確認（MAURICE LACROIX）,unknown,2,true,読み方要確認
MHR,,未確認（MHR）,unknown,2,true,読み方要確認
MONDAINE,,未確認（MONDAINE）,unknown,2,true,読み方要確認
MONTBLANC,,未確認（MONTBLANC）,unknown,2,true,読み方要確認
Obrey,,未確認（Obrey）,unknown,2,true,読み方要確認
OHARA,,未確認（OHARA）,unknown,2,true,読み方要確認
Peace,,未確認（Peace）,unknown,2,true,読み方要確認
PEQUIGNET,,未確認（PEQUIGNET）,unknown,2,true,読み方要確認
ROOTS,,未確認（ROOTS）,unknown,2,true,読み方要確認
Roy King,,未確認（Roy King）,unknown,2,true,読み方要確認
SINN,,未確認（SINN）,unknown,2,true,読み方要確認
TENSE,,未確認（TENSE）,unknown,2,true,読み方要確認
TRUSSARDI,,未確認（TRUSSARDI）,unknown,2,true,読み方要確認
ULYSSE NARDIN,,未確認（ULYSSE NARDIN）,unknown,2,true,読み方要確認
VAN CLEEF＆ARPELS,,未確認（VAN CLEEF＆ARPELS）,unknown,2,true,読み方要確認
Vendome Aoyama,,未確認（Vendome Aoyama）,unknown,2,true,読み方要確認
WENGER,,未確認（WENGER）,unknown,2,true,読み方要確認
掛時計,,未確認（掛時計）,unknown,2,true,読み方要確認
AB AETERNO,,未確認（AB AETERNO）,unknown,1,true,読み方要確認
ABISTE,,未確認（ABISTE）,unknown,1,true,読み方要確認
agnis b 懐中時計,アニエスベー,アニエスベー（agnis b 懐中時計）,low,1,true,スペル揺れ/スペルミス疑い: agnes b / 表記ゆれ疑い: agnis b
AICHI,,未確認（AICHI）,unknown,1,true,読み方要確認
AIKOSHA,,未確認（AIKOSHA）,unknown,1,true,読み方要確認
alain silberstein,,未確認（alain silberstein）,unknown,1,true,読み方要確認 / 表記ゆれ疑い: ALAIN SILBERSTEIN
ALAIN SILBERSTEIN,,未確認（ALAIN SILBERSTEIN）,unknown,1,true,読み方要確認 / 表記ゆれ疑い: alain silberstein
ALAX,,未確認（ALAX）,unknown,1,true,読み方要確認
ALESSI,,未確認（ALESSI）,unknown,1,true,読み方要確認
ALETTE,,未確認（ALETTE）,unknown,1,true,読み方要確認
ALETTE BLANC,,未確認（ALETTE BLANC）,unknown,1,true,読み方要確認
ALLY DENOVO,,未確認（ALLY DENOVO）,unknown,1,true,読み方要確認
Angel Heart,,未確認（Angel Heart）,unknown,1,true,読み方要確認
ANNE KLEIN,,未確認（ANNE KLEIN）,unknown,1,true,読み方要確認
AQUANAUTIC,,未確認（AQUANAUTIC）,unknown,1,true,読み方要確認
ASTRODEA,,未確認（ASTRODEA）,unknown,1,true,読み方要確認
Auguste Reymond,,未確認（Auguste Reymond）,unknown,1,true,読み方要確認
AUREOLE,,未確認（AUREOLE）,unknown,1,true,読み方要確認
baby-G,,未確認（baby-G）,unknown,1,true,読み方要確認
BALL WATCH,,未確認（BALL WATCH）,unknown,1,true,読み方要確認
Bando,,未確認（Bando）,unknown,1,true,読み方要確認
BEDAT&Co,,未確認（BEDAT&Co）,unknown,1,true,読み方要確認
BELL＆ROSS,,未確認（BELL＆ROSS）,unknown,1,true,読み方要確認
BENRUS,,未確認（BENRUS）,unknown,1,true,読み方要確認
Bleu Bleuet,,未確認（Bleu Bleuet）,unknown,1,true,読み方要確認
Blue Blue TOKYO,,未確認（Blue Blue TOKYO）,unknown,1,true,読み方要確認
BMW,,未確認（BMW）,unknown,1,true,読み方要確認
BOMBERG,,未確認（BOMBERG）,unknown,1,true,読み方要確認
bon bon watch,,未確認（bon bon watch）,unknown,1,true,読み方要確認
BOSS,,未確認（BOSS）,unknown,1,true,読み方要確認
BOUCHERON,,未確認（BOUCHERON）,unknown,1,true,読み方要確認
BREITLING(コピー）,ブライトリング,ブライトリング（BREITLING(コピー））,high,1,true,一般的な日本語表記 / 表記ゆれ疑い: BREITLING
BRERA,,未確認（BRERA）,unknown,1,true,読み方要確認
BRIDGESTONE,,未確認（BRIDGESTONE）,unknown,1,true,読み方要確認
BRILLAMICO,,未確認（BRILLAMICO）,unknown,1,true,読み方要確認
BUTI,,未確認（BUTI）,unknown,1,true,読み方要確認
CAPRI WATCH,,未確認（CAPRI WATCH）,unknown,1,true,読み方要確認
Carl von Zeyten,,未確認（Carl von Zeyten）,unknown,1,true,読み方要確認
CATREX,,未確認（CATREX）,unknown,1,true,読み方要確認
CENTURY,,未確認（CENTURY）,unknown,1,true,読み方要確認
CERTUS,,未確認（CERTUS）,unknown,1,true,読み方要確認
CITIZEN 置時計,シチズン,シチズン（CITIZEN 置時計）,high,1,true,一般的な日本語表記 / 表記ゆれ疑い: CITIZEN
CITRON,,未確認（CITRON）,unknown,1,true,読み方要確認
CK,,未確認（CK）,unknown,1,true,読み方要確認
CLUSE,,未確認（CLUSE）,unknown,1,true,読み方要確認
courreges,,未確認（courreges）,unknown,1,true,読み方要確認
CP5,,未確認（CP5）,unknown,1,true,読み方要確認
CWC,,未確認（CWC）,unknown,1,true,読み方要確認
D.JEANRICHARD,,未確認（D.JEANRICHARD）,unknown,1,true,読み方要確認
DC,,未確認（DC）,unknown,1,true,読み方要確認
DEKATHLON,,未確認（DEKATHLON）,unknown,1,true,読み方要確認
DELMA,,未確認（DELMA）,unknown,1,true,読み方要確認
DOLCE GEAR,,未確認（DOLCE GEAR）,unknown,1,true,読み方要確認
Dreamlight,,未確認（Dreamlight）,unknown,1,true,読み方要確認
EDOX,,未確認（EDOX）,unknown,1,true,読み方要確認
ELGIN,,未確認（ELGIN）,unknown,1,true,読み方要確認
EMERICH MEERSON,,未確認（EMERICH MEERSON）,unknown,1,true,読み方要確認
ENICAR,,未確認（ENICAR）,unknown,1,true,読み方要確認
Ferragamo,,未確認（Ferragamo）,unknown,1,true,読み方要確認
FORTIS,,未確認（FORTIS）,unknown,1,true,読み方要確認
FREE MEN,,未確認（FREE MEN）,unknown,1,true,読み方要確認
FURLA,,未確認（FURLA）,unknown,1,true,読み方要確認
Future Club,,未確認（Future Club）,unknown,1,true,読み方要確認
GALLUCCI,,未確認（GALLUCCI）,unknown,1,true,読み方要確認
GC,,未確認（GC）,unknown,1,true,読み方要確認
georg jensen,,未確認（georg jensen）,unknown,1,true,読み方要確認
GERALD GENTA,,未確認（GERALD GENTA）,unknown,1,true,読み方要確認
givenchy,,未確認（givenchy）,unknown,1,true,読み方要確認
GLASHUTTE,,未確認（GLASHUTTE）,unknown,1,true,読み方要確認
H&Co,,未確認（H&Co）,unknown,1,true,読み方要確認
HIS MASTERS VOICE,,未確認（HIS MASTERS VOICE）,unknown,1,true,読み方要確認
HUBLOTタイプ,ウブロ,ウブロ（HUBLOTタイプ）,high,1,true,一般的な日本語表記 / 表記ゆれ疑い: HUBLOT
HUNTING WORLD,,未確認（HUNTING WORLD）,unknown,1,true,読み方要確認
INVICTA,,未確認（INVICTA）,unknown,1,true,読み方要確認
J-AXIS,,未確認（J-AXIS）,unknown,1,true,読み方要確認
JACQUES LEMANS,,未確認（JACQUES LEMANS）,unknown,1,true,読み方要確認
JARDUR,,未確認（JARDUR）,unknown,1,true,読み方要確認
JEMIS,,未確認（JEMIS）,unknown,1,true,読み方要確認
JENNIFER LOPEZ,,未確認（JENNIFER LOPEZ）,unknown,1,true,読み方要確認
Johnny,,未確認（Johnny）,unknown,1,true,読み方要確認
jun ashida,,未確認（jun ashida）,unknown,1,true,読み方要確認
JUNKERS,,未確認（JUNKERS）,unknown,1,true,読み方要確認
K.UNO,,未確認（K.UNO）,unknown,1,true,読み方要確認
kate  spade,,未確認（kate  spade）,unknown,1,true,読み方要確認 / スペース違い疑い
KATHARINE HAMNETT,,未確認（KATHARINE HAMNETT）,unknown,1,true,読み方要確認
KCB,,未確認（KCB）,unknown,1,true,読み方要確認
Kiina,,未確認（Kiina）,unknown,1,true,読み方要確認
KILA,,未確認（KILA）,unknown,1,true,読み方要確認
Klaeuse,,未確認（Klaeuse）,unknown,1,true,読み方要確認
knot,,未確認（knot）,unknown,1,true,読み方要確認
KOVA,,未確認（KOVA）,unknown,1,true,読み方要確認
L.L.bean,,未確認（L.L.bean）,unknown,1,true,読み方要確認
LADITTE,,未確認（LADITTE）,unknown,1,true,読み方要確認
lasserre,,未確認（lasserre）,unknown,1,true,読み方要確認
LOOGER,,未確認（LOOGER）,unknown,1,true,読み方要確認
LORD KING,,未確認（LORD KING）,unknown,1,true,読み方要確認
Lunage,,未確認（Lunage）,unknown,1,true,読み方要確認
MARES,,未確認（MARES）,unknown,1,true,読み方要確認
margaret howell,,未確認（margaret howell）,unknown,1,true,読み方要確認
Marina B,,未確認（Marina B）,unknown,1,true,読み方要確認
MARTIN BRAUN,,未確認（MARTIN BRAUN）,unknown,1,true,読み方要確認
MASERATI,,未確認（MASERATI）,unknown,1,true,読み方要確認
MAURICE RENOMA,,未確認（MAURICE RENOMA）,unknown,1,true,読み方要確認
Mercedes Benz,,未確認（Mercedes Benz）,unknown,1,true,読み方要確認
METAL.CH,,未確認（METAL.CH）,unknown,1,true,読み方要確認
MICKEY MOUSE,,未確認（MICKEY MOUSE）,unknown,1,true,読み方要確認
MIKIMOTO,,未確認（MIKIMOTO）,unknown,1,true,読み方要確認
MILUS,,未確認（MILUS）,unknown,1,true,読み方要確認
MINI,,未確認（MINI）,unknown,1,true,読み方要確認
Misaki,,未確認（Misaki）,unknown,1,true,読み方要確認
MISANI,,未確認（MISANI）,unknown,1,true,読み方要確認
MTY NETWORKS,,未確認（MTY NETWORKS）,unknown,1,true,読み方要確認
Nibada,,未確認（Nibada）,unknown,1,true,読み方要確認
Nivada,,未確認（Nivada）,unknown,1,true,読み方要確認
NIXON,,未確認（NIXON）,unknown,1,true,読み方要確認
Ole Mathiesen,,未確認（Ole Mathiesen）,unknown,1,true,読み方要確認
OWARITOKEI,,未確認（OWARITOKEI）,unknown,1,true,読み方要確認
PF,,未確認（PF）,unknown,1,true,読み方要確認
PHILIPPE SHARIOL,,未確認（PHILIPPE SHARIOL）,unknown,1,true,読み方要確認
PHILIPPE VENET,,未確認（PHILIPPE VENET）,unknown,1,true,読み方要確認
pierre cardin,,未確認（pierre cardin）,unknown,1,true,読み方要確認
Pierre Lannier,,未確認（Pierre Lannier）,unknown,1,true,読み方要確認
PLAYBOY,,未確認（PLAYBOY）,unknown,1,true,読み方要確認
POLICE,,未確認（POLICE）,unknown,1,true,読み方要確認
RALPH LAUREN,,未確認（RALPH LAUREN）,unknown,1,true,読み方要確認
REVUE THOMMEN,,未確認（REVUE THOMMEN）,unknown,1,true,読み方要確認
Ritmo Latino,,未確認（Ritmo Latino）,unknown,1,true,読み方要確認
RODANIA,,未確認（RODANIA）,unknown,1,true,読み方要確認
ROMAGO,,未確認（ROMAGO）,unknown,1,true,読み方要確認
ROYAL MONTRESS,,未確認（ROYAL MONTRESS）,unknown,1,true,読み方要確認
ROYAL NATURE,,未確認（ROYAL NATURE）,unknown,1,true,読み方要確認
ROYAL TSCA,,未確認（ROYAL TSCA）,unknown,1,true,読み方要確認
RSW,,未確認（RSW）,unknown,1,true,読み方要確認
SAMOA,,未確認（SAMOA）,unknown,1,true,読み方要確認
SATO,,未確認（SATO）,unknown,1,true,読み方要確認
sazare,,未確認（sazare）,unknown,1,true,読み方要確認
SECTOR,,未確認（SECTOR）,unknown,1,true,読み方要確認
SEIKO 掛時計,セイコー,セイコー（SEIKO 掛時計）,high,1,true,一般的な日本語表記 / 表記ゆれ疑い: SEIKO / SEIKO 懐中時計
Shinnnyo,,未確認（Shinnnyo）,unknown,1,true,読み方要確認
Shinnyo,,未確認（Shinnyo）,unknown,1,true,読み方要確認
SONIA RYKEL,,未確認（SONIA RYKEL）,unknown,1,true,読み方要確認
SONNE HAORI PRODUDED,,未確認（SONNE HAORI PRODUDED）,unknown,1,true,読み方要確認
SORNA,,未確認（SORNA）,unknown,1,true,読み方要確認
Sturmanskie,,未確認（Sturmanskie）,unknown,1,true,読み方要確認
SWAROVSKI,,未確認（SWAROVSKI）,unknown,1,true,読み方要確認
swatch,,未確認（swatch）,unknown,1,true,読み方要確認
SWISS ARMY,,未確認（SWISS ARMY）,unknown,1,true,読み方要確認
SWISS HAWAIIAN,,未確認（SWISS HAWAIIAN）,unknown,1,true,読み方要確認
SWISS MILITARY,,未確認（SWISS MILITARY）,unknown,1,true,読み方要確認
SWIZA,,未確認（SWIZA）,unknown,1,true,読み方要確認
tag Heuer,タグ・ホイヤー,タグ・ホイヤー（tag Heuer）,high,1,true,一般的な日本語表記 / 表記ゆれ疑い: Tag Heuer
Tendence,,未確認（Tendence）,unknown,1,true,読み方要確認
TENSHOUDO,,未確認（TENSHOUDO）,unknown,1,true,読み方要確認
THE GINZA,,未確認（THE GINZA）,unknown,1,true,読み方要確認
TIDE WAY,,未確認（TIDE WAY）,unknown,1,true,読み方要確認
TIME WILL TELL,,未確認（TIME WILL TELL）,unknown,1,true,読み方要確認
town&country,,未確認（town&country）,unknown,1,true,読み方要確認
TRUSTY,,未確認（TRUSTY）,unknown,1,true,読み方要確認
TUSENO,,未確認（TUSENO）,unknown,1,true,読み方要確認
U.S.POLO,,未確認（U.S.POLO）,unknown,1,true,読み方要確認
UNDONE,,未確認（UNDONE）,unknown,1,true,読み方要確認
ungaro,,未確認（ungaro）,unknown,1,true,読み方要確認
UNITED SERVICE,,未確認（UNITED SERVICE）,unknown,1,true,読み方要確認
URBAN,,未確認（URBAN）,unknown,1,true,読み方要確認
Valentino Rudy,,未確認（Valentino Rudy）,unknown,1,true,読み方要確認
VICTORINOX,,未確認（VICTORINOX）,unknown,1,true,読み方要確認
VIVAYOU,,未確認（VIVAYOU）,unknown,1,true,読み方要確認
WEMPE,,未確認（WEMPE）,unknown,1,true,読み方要確認
WIRED,,未確認（WIRED）,unknown,1,true,読み方要確認
WITTNAUER,,未確認（WITTNAUER）,unknown,1,true,読み方要確認
YALE CLUB 懐中時計,,未確認（YALE CLUB 懐中時計）,unknown,1,true,読み方要確認
yukiko kimijima,,未確認（yukiko kimijima）,unknown,1,true,読み方要確認
ZANNETTI,,未確認（ZANNETTI）,unknown,1,true,読み方要確認
ZEPPELIN,,未確認（ZEPPELIN）,unknown,1,true,読み方要確認
アトム,,未確認（アトム）,unknown,1,true,読み方要確認
ドイツ掛時計,,未確認（ドイツ掛時計）,unknown,1,true,読み方要確認
バンド,,未確認（バンド）,unknown,1,true,読み方要確認
ハンドメイド時計,,未確認（ハンドメイド時計）,unknown,1,true,読み方要確認
フランク三浦,,未確認（フランク三浦）,unknown,1,true,読み方要確認
懐中時計,,未確認（懐中時計）,unknown,1,true,読み方要確認
無印,,未確認（無印）,unknown,1,true,読み方要確認
